id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0001,2026-02-27,mobile,Ordinateur NovaBook,"Très  bonne  expérience,  simple  et  efficace.",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,4,fr
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat 👍 #avis,Très satisfait de mon achat avis,tres satisf achat avis,positif,4,fr
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,"Produit  parfait,  rien  à  signaler.",Produit parfait rien à signaler,produit parf rien signal,positif,4,fr
AV0004,2026-06-28,sav,SmartWatch Pro,"Produit excellent, je suis très satisfait. !!!",Produit excellent je suis très satisfait !,produit excellent tres satisf !,positif,5,fr
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,LA BATTERIE TIENT VRAIMENT BIEN ET L ÉCRAN EST SUPERBE,batter tient vrai bien écran superb,positif,5,fr
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat 👍 😊,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT,servic client réactif command reçu rapid,positif,4,fr
AV0008,2026-06-30,web,SmartPhone X,Très  satisfait  de  mon  achat  👍,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0009,2026-08-10,web,Écouteurs AirSound,Le  produit  correspond  globalement  à  la  description.,Le produit correspond globalement à la description,produit correspond global descript,neutre,3,fr
AV0010,2026-04-01,mobile,Ordinateur NovaBook,@client Livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat 👍 !!!,Très satisfait de mon achat !,tres satisf achat !,positif,4,fr
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. #avis,La batterie tient vraiment bien et l écran est superbe avis,batter tient vrai bien écran superb avis,positif,4,fr
AV0014,2026-06-17,sav,Écouteurs AirSound,"Mauvaise  expérience,  je  ne  recommande  pas.",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,2,fr
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix. !!!,Qualité décevante pour ce prix !,qualit décev prix !,negatif,2,fr
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix. #avis,Produit correct pour son prix avis,produit correct prix avis,neutre,4,fr
AV0017,2026-01-24,web,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/17",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus.,Le produit ne fonctionne déjà plus,produit ne fonction déjà plus,negatif,2,fr
AV0020,2026-07-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. 😊",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,4,fr
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité-prix.,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description. 😊,Le produit correspond globalement à la description,produit correspond global descript,neutre,4,fr
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0024,2026-08-26,email,SmartWatch Pro,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.",PRODUIT EXCELLENT JE SUIS TRÈS SATISFAIT,produit excellent tres satisf,positif,5,fr
AV0025,2026-01-22,sav,SmartPhone X,TRÈS SATISFAIT DE MON ACHAT 👍,TRÈS SATISFAIT DE MON ACHAT,tres satisf achat,positif,5,fr
AV0026,2026-06-18,sav,Tablette TabPlus,"Produit reçu endommagé, je suis mécontent. !!!",Produit reçu endommagé je suis mécontent !,produit reçu endommag mécontent !,negatif,2,fr
AV0027,2026-07-13,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement.",Je recommande vivement tout fonctionne parfaitement,recommand viv tout fonction parfait,positif,5,fr
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,"Produit excellent, je suis trèèès satisfait.",Produit excellent je suis trèèès satisfait,produit excellent trèèes satisf,positif,5,fr
