id_avis,date,source,produit,texte,sentiment,note,langue
AV0001,2026-02-27,mobile,Ordinateur NovaBook,"Très  bonne  expérience,  simple  et  efficace.",positif,4,fr
AV0002,2026-01-09,web,SmartPhone X,Très satisfait de mon achat 👍 #avis,positif,4,fr
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,"Produit  parfait,  rien  à  signaler.",positif,4,fr
AV0004,2026-06-28,sav,SmartWatch Pro,"Produit excellent, je suis très satisfait. !!!",positif,5,fr
AV0005,2026-01-24,sav,SmartPhone X,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,positif,5,fr
AV0006,2026-07-26,web,Ordinateur NovaBook,Très satisfait de mon achat 👍 😊,positif,5,fr
AV0007,2026-05-22,email,Ordinateur NovaBook,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,positif,4,fr
AV0008,2026-06-30,web,SmartPhone X,Très  satisfait  de  mon  achat  👍,positif,5,fr
AV0009,2026-08-10,web,Écouteurs AirSound,Le  produit  correspond  globalement  à  la  description.,neutre,3,fr
AV0010,2026-04-01,mobile,Ordinateur NovaBook,@client Livraison rapide et produit conforme à mes attentes.,positif,5,fr
AV0011,2026-05-17,mobile,SmartPhone Y,Très satisfait de mon achat 👍 !!!,positif,4,fr
AV0012,2026-06-25,email,SmartPhone X,"Produit  parfait,  rien  à  signaler.",positif,5,fr
AV0013,2026-03-10,web,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,4,fr
AV0014,2026-06-17,sav,Écouteurs AirSound,"Mauvaise  expérience,  je  ne  recommande  pas.",negatif,2,fr
AV0015,2026-03-09,mobile,SmartPhone Y,Qualité décevante pour ce prix. !!!,negatif,2,fr
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,Produit correct pour son prix. #avis,neutre,4,fr
AV0017,2026-01-24,web,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/17",positif,5,fr
AV0018,2026-04-09,sav,Tablette TabPlus,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,positif,5,fr
AV0019,2026-08-09,web,Ordinateur NovaBook,Le produit ne fonctionne déjà plus.,negatif,2,fr
AV0020,2026-07-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. 😊",neutre,4,fr
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité-prix.,positif,5,fr
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description. 😊,neutre,4,fr
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes.,positif,5,fr
AV0024,2026-08-26,email,SmartWatch Pro,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.",positif,5,fr
AV0025,2026-01-22,sav,SmartPhone X,TRÈS SATISFAIT DE MON ACHAT 👍,positif,5,fr
AV0026,2026-06-18,sav,Tablette TabPlus,"Produit reçu endommagé, je suis mécontent. !!!",negatif,2,fr
AV0027,2026-07-13,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement.",positif,5,fr
AV0028,2026-04-26,web,SmartPhone Y,Excellent rapport qualité-prix.,positif,5,fr
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,"Produit excellent, je suis trèèès satisfait.",positif,5,fr
AV0030,2026-08-20,web,SmartWatch Pro,"JE RECOMMANDE VIVEMENT, TOUT FONCTIONNE PARFAITEMENT.",positif,4,fr
AV0031,2026-02-24,réseaux_sociaux,SmartPhone Y,"Très bonne expérience, simple et efficace. https://example.com/commande/31",positif,5,fr
AV0032,2026-03-04,sav,Écouteurs AirSound,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/32",neutre,4,fr
AV0033,2026-04-19,sav,Écouteurs AirSound,@client Service client réactif et commande reçue rapidement.,positif,4,fr
AV0034,2026-04-14,email,SmartPhone X,La batterie se décharge beaucoup trop vite.,negatif,1,fr
AV0035,2026-02-05,sav,SmartPhone Y,"Produit parfait, rien à signaler. https://example.com/commande/35",positif,5,fr
AV0036,2026-07-26,réseaux_sociaux,SmartPhone X,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/36",positif,5,fr
AV0037,2026-02-12,sav,Écouteurs AirSound,"Très  bon  produit,  la  qualité  est  au  rendez-vous.",positif,4,fr
AV0038,2026-04-08,web,Écouteurs AirSound,"Produit excellent, je suis très satisfait. !!!",positif,5,fr
AV0039,2026-06-28,réseaux_sociaux,Ordinateur NovaBook,"Très bonne expérience, simple et efficace. #avis",positif,5,fr
AV0040,2026-02-25,web,Tablette TabPlus,La livraison s'est déroulée normalement. 😊,neutre,3,fr
AV0041,2026-01-15,web,Tablette TabPlus,@client La qualité est correcte sans être exceptionnelle.,neutre,3,fr
AV0042,2026-01-21,mobile,SmartPhone X,"Produit excellent, je suis trèèès satisfait.",positif,5,fr
AV0043,2026-08-16,réseaux_sociaux,SmartPhone Y,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,positif,5,fr
AV0044,2026-04-18,réseaux_sociaux,Tablette TabPlus,TRÈS SATISFAIT DE MON ACHAT 👍,positif,4,fr
AV0045,2026-03-03,email,Écouteurs AirSound,"@client Je recommande vivement, tout fonctionne parfaitement.",positif,5,fr
AV0046,2026-08-26,web,SmartPhone X,@client Excellent rapport qualité-prix.,positif,5,fr
AV0047,2026-02-24,réseaux_sociaux,SmartWatch Pro,,positif,4,fr
AV0048,2026-04-05,email,SmartPhone Y,"Très  bon  produit,  la  qualité  est  au  rendez-vous.",positif,5,fr
AV0049,2026-01-03,réseaux_sociaux,SmartWatch Pro,Très satisfait de mon achat 👍,positif,5,fr
AV0050,2026-01-30,web,Ordinateur NovaBook,"Produit reçu endommagé, je suis mécontent. 😊",negatif,1,fr
AV0051,2026-07-03,email,SmartPhone Y,"Très  bonne  expérience,  simple  et  efficace.",positif,5,fr
AV0052,2026-03-06,web,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/52",neutre,3,fr
AV0053,2026-03-27,mobile,Ordinateur NovaBook,"Produit excellent, je suis très satisfait.",positif,5,fr
AV0054,2026-06-30,sav,Tablette TabPlus,Qualité décevante pour ce prix.,negatif,1,fr
AV0055,2026-01-10,email,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes.,positif,4,fr
AV0056,2026-03-20,email,SmartPhone X,Livraison rapide et produit conforme à mes attentes.,positif,5,fr
AV0057,2026-04-01,réseaux_sociaux,Écouteurs AirSound,LA LIVRAISON A ÉTÉ TRÈS LONGUE.,negatif,1,fr
AV0058,2026-08-10,mobile,SmartPhone Y,"Produit  reçu  endommagé,  je  suis  mécontent.",negatif,2,fr
AV0059,2026-07-20,sav,Ordinateur NovaBook,"@client Produit reçu endommagé, je suis mécontent.",negatif,1,fr
AV0060,2026-07-21,web,Écouteurs AirSound,Le produit ne fonctionne déjà plus. !!!,negatif,1,fr
AV0061,2026-07-29,sav,SmartWatch Pro,La  livraison  a  été  très  longue.,negatif,2,fr
AV0062,2026-06-18,mobile,Écouteurs AirSound,"Je recommande vivement, tout fonctionne parfaitement.",positif,5,fr
AV0063,2026-06-14,réseaux_sociaux,Écouteurs AirSound,"@client Très bonne expérience, simple et efficace.",positif,4,fr
AV0064,2026-01-30,email,SmartPhone Y,Produit correct pour son prix.,neutre,4,fr
AV0065,2026-06-02,sav,SmartWatch Pro,"PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.",positif,5,fr
AV0066,2026-01-30,sav,Tablette TabPlus,L'utilisation est assez simple.,neutre,3,fr
AV0067,2026-05-14,réseaux_sociaux,Ordinateur NovaBook,Service client réactif et commande reçue rapidement.,positif,4,fr
AV0068,2026-04-04,sav,SmartPhone X,La  qualité  est  correcte  sans  être  exceptionnelle.,neutre,4,fr
AV0069,2026-07-04,email,Tablette TabPlus,"MAUVAISE EXPÉRIENCE, JE NE RECOMMANDE PAS.",negatif,2,fr
AV0070,2026-06-28,email,Tablette TabPlus,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,5,fr
AV0071,2026-06-07,réseaux_sociaux,SmartWatch Pro,Service client réactif et commande reçue rapidement. !!!,positif,5,fr
AV0072,2026-02-23,sav,Tablette TabPlus,"Très bonne expérience, simple et efficace. 😊",positif,4,fr
AV0073,2026-04-24,mobile,Tablette TabPlus,Excellent rapport qualité-prix. https://example.com/commande/73,positif,5,fr
AV0074,2026-05-12,réseaux_sociaux,SmartWatch Pro,"Très bon produit, la qualité est au rendez-vous. 😊",positif,5,fr
AV0075,2026-07-26,mobile,SmartPhone Y,"Très  bonne  expérience,  simple  et  efficace.",positif,5,fr
AV0076,2026-04-27,sav,Ordinateur NovaBook,EXCELLENT RAPPORT QUALITÉ-PRIX.,positif,5,fr
AV0077,2026-03-04,mobile,Ordinateur NovaBook,Excellent rapport qualité-prix. #avis,positif,5,fr
AV0078,2026-02-15,réseaux_sociaux,Écouteurs AirSound,L'utilisation  est  assez  simple.,neutre,3,fr
AV0079,2026-02-04,sav,Ordinateur NovaBook,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/79",positif,5,fr
AV0080,2026-04-20,réseaux_sociaux,Écouteurs AirSound,Excellent rapport qualité-prix.,positif,5,fr
AV0081,2026-03-08,mobile,Ordinateur NovaBook,Qualité décevante pour ce prix. https://example.com/commande/81,negatif,2,fr
AV0082,2026-04-23,web,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. 😊",positif,5,fr
AV0083,2026-08-17,réseaux_sociaux,SmartPhone X,@client La batterie tient vraiment bien et l'écran est superbe.,positif,5,fr
AV0084,2026-06-30,mobile,SmartPhone X,Service client réactif et commande reçue rapidement. !!!,positif,5,fr
AV0085,2026-04-17,web,SmartPhone Y,"Produit parfait, rien à signaler. https://example.com/commande/85",positif,5,fr
AV0086,2026-08-08,réseaux_sociaux,Écouteurs AirSound,"Je viens de recevoir le produit, à voir dans le temps.",neutre,3,fr
AV0087,2026-08-07,sav,Tablette TabPlus,"Très bonne expérience, simple et efficace. #avis",positif,5,fr
AV0088,2026-05-05,mobile,SmartWatch Pro,"Je  viens  de  recevoir  le  produit,  à  voir  dans  le  temps.",neutre,4,fr
AV0089,2026-06-21,sav,Ordinateur NovaBook,@client Service client réactif et commande reçue rapidement.,positif,4,fr
AV0090,2026-01-07,sav,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes.,positif,5,fr
AV0091,2026-02-04,sav,SmartPhone Y,"Très bon produit, la qualité est au rendez-vous. #avis",positif,4,fr
AV0092,2026-04-27,email,SmartWatch Pro,La  batterie  tient  vraiment  bien  et  l'écran  est  superbe.,positif,5,fr
AV0093,2026-03-06,web,Écouteurs AirSound,Produit correct pour son prix. #avis,neutre,3,fr
AV0094,2026-06-16,web,Ordinateur NovaBook,La  batterie  tient  vraiment  bien  et  l'écran  est  superbe.,positif,4,fr
AV0095,2026-08-03,web,Tablette TabPlus,"Je  recommande  vivement,  tout  fonctionne  parfaitement.",positif,4,fr
AV0096,2026-05-25,mobile,Écouteurs AirSound,EXCELLENT RAPPORT QUALITÉ-PRIX.,positif,5,fr
AV0097,2026-07-19,mobile,SmartWatch Pro,LA LIVRAISON S'EST DÉROULÉE NORMALEMENT.,neutre,3,fr
AV0098,2026-04-12,mobile,SmartPhone X,"Très bonne expérience, simple et efficace. #avis",positif,4,fr
AV0099,2026-08-06,réseaux_sociaux,SmartPhone X,"Très bon produit, la qualité est au rendez-vous. 😊",positif,5,fr
AV0100,2026-05-17,sav,Ordinateur NovaBook,@client Le produit correspond globalement à la description.,neutre,4,fr
AV0101,2026-07-30,sav,SmartPhone X,"Produit excellent, je suis très satisfait. #avis",positif,5,fr
AV0102,2026-04-22,mobile,Ordinateur NovaBook,Excellent rapport qualité-prix. !!!,positif,5,fr
AV0103,2026-07-18,sav,Écouteurs AirSound,Très satisfait de mon achat 👍,positif,5,fr
AV0104,2026-08-01,web,SmartWatch Pro,La  batterie  tient  vraiment  bien  et  l'écran  est  superbe.,positif,5,fr
AV0105,2026-03-28,web,Écouteurs AirSound,Qualité décevante pour ce prix. #avis,negatif,1,fr
AV0106,2026-04-01,email,SmartWatch Pro,Qualité  décevante  pour  ce  prix.,negatif,1,fr
AV0107,2026-05-13,mobile,SmartPhone X,"Produit parfait, rien à signaler.",positif,5,fr
AV0108,2026-07-14,mobile,Ordinateur NovaBook,Excellent rapport qualité-prix.,positif,5,fr
AV0109,2026-01-24,email,SmartPhone Y,,positif,5,fr
AV0110,2026-05-02,réseaux_sociaux,Tablette TabPlus,"@client Très bonne expérience, simple et efficace.",positif,5,fr
AV0111,2026-03-11,email,SmartWatch Pro,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/111,positif,5,fr
AV0112,2026-07-10,réseaux_sociaux,Ordinateur NovaBook,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,positif,5,fr
AV0113,2026-07-05,réseaux_sociaux,Tablette TabPlus,Excellent rapport qualité-prix. 😊,positif,5,fr
AV0114,2026-02-28,email,SmartPhone Y,"Je recommande vivement, tout fonctionne parfaitement. 😊",positif,4,fr
AV0115,2026-01-14,réseaux_sociaux,SmartWatch Pro,"Très bonne expérience, simple et efficace.",positif,5,fr
AV0116,2026-01-27,web,Tablette TabPlus,La qualité est correcte sans être exceptionnelle. https://example.com/commande/116,neutre,3,fr
AV0117,2026-02-17,web,SmartWatch Pro,@client Excellent rapport qualité-prix.,positif,5,fr
AV0118,2026-04-13,sav,SmartPhone X,LA BATTERIE SE DÉCHARGE BEAUCOUP TROP VITE.,negatif,2,fr
AV0119,2026-07-27,réseaux_sociaux,SmartWatch Pro,Livraison rapide et produit conforme à mes attentes. !!!,positif,4,fr
AV0120,2026-07-15,sav,Tablette TabPlus,"Très bon produit, la qualité est au rendez-vous.",positif,5,fr
AV0121,2026-04-26,sav,SmartWatch Pro,"Produit parfait, rien à signaler. #avis",positif,5,fr
AV0122,2026-06-06,web,SmartPhone Y,Le produit ne fonctionne déjà plus.,negatif,2,fr
AV0123,2026-03-03,mobile,Tablette TabPlus,"Très bon produit, la qualité est au rendez-vous. !!!",positif,5,fr
AV0124,2026-06-26,réseaux_sociaux,Écouteurs AirSound,Service client réactif et commande reçue rapidement. https://example.com/commande/124,positif,4,fr
AV0125,2026-06-29,sav,SmartPhone X,"Très bonne expérience, simple et efficace. 😊",positif,5,fr
AV0126,2026-04-19,web,Tablette TabPlus,La  qualité  est  correcte  sans  être  exceptionnelle.,neutre,3,fr
AV0127,2026-01-19,web,SmartPhone Y,"Très bonne expérience, simple et efficace. !!!",positif,5,fr
AV0128,2026-04-23,web,Écouteurs AirSound,La qualité est correcte sans être exceptionnelle. 😊,neutre,4,fr
AV0129,2026-05-09,réseaux_sociaux,Écouteurs AirSound,L'utilisation est assez simple. 😊,neutre,4,fr
AV0130,2026-06-04,email,SmartPhone X,@client Service client réactif et commande reçue rapidement.,positif,4,fr
AV0131,2026-07-15,mobile,Écouteurs AirSound,"Très bonne expérience, simple et efficace.",positif,4,fr
AV0132,2026-05-30,sav,Ordinateur NovaBook,"Très bonne expérience, simple et efficace. !!!",positif,5,fr
AV0133,2026-04-15,email,SmartWatch Pro,@client L'utilisation est assez simple.,neutre,3,fr
AV0134,2026-06-27,sav,SmartWatch Pro,Produit correct pour son prix. #avis,neutre,3,fr
AV0135,2026-04-27,web,SmartWatch Pro,"Je viens de recevoir le produit, à voir dans le temps.",neutre,3,fr
AV0136,2026-07-31,web,Ordinateur NovaBook,Service client réactif et commande reçue rapidement.,positif,4,fr
AV0137,2026-02-18,réseaux_sociaux,SmartWatch Pro,Le service client n'a pas répondu à ma demande.,negatif,2,fr
AV0138,2026-02-22,email,Tablette TabPlus,Excellent rapport qualité-prix.,positif,5,fr
AV0139,2026-02-01,web,Ordinateur NovaBook,Excellent rapport qualité-prix. https://example.com/commande/139,positif,5,fr
AV0140,2026-05-22,web,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes. 😊,positif,5,fr
